Admissões,Desligamentos,Saldos,data,mes,ano,atividade
390197.0,315617.0,74580.0,Julho/2021,Julho,2021,['Comércio; reparação de veículos automotores e motocicletas']
735236.0,608079.0,127157.0,Julho/2021,Julho,2021,['Serviços']
88687.0,74390.0,14297.0,Julho/2021,Julho,2021,"['Transporte, armazenagem e correio']"
90393.0,62133.0,28260.0,Julho/2021,Julho,2021,['Alojamento e alimentação']
398407.0,328845.0,69562.0,Julho/2021,Julho,2021,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
42749.0,31396.0,11353.0,Julho/2021,Julho,2021,['Informação e Comunicação']
21828.0,16301.0,5527.0,Julho/2021,Julho,2021,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
6551.0,4879.0,1672.0,Julho/2021,Julho,2021,['Atividades Imobiliárias']
62309.0,48438.0,13871.0,Julho/2021,Julho,2021,"['Atividades Profissionais, Científicas e Técnicas']"
264970.0,227831.0,37139.0,Julho/2021,Julho,2021,['Atividades Administrativas e Serviços Complementares']
117064.0,110614.0,6450.0,Julho/2021,Julho,2021,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
4363.0,3670.0,693.0,Julho/2021,Julho,2021,"['Administração Pública, Defesa e Seguridade Social']"
33175.0,37551.0,-4376.0,Julho/2021,Julho,2021,['Educação']
79526.0,69393.0,10133.0,Julho/2021,Julho,2021,['Saúde Humana e Serviços Sociais']
119.0,73.0,46.0,Julho/2021,Julho,2021,['Serviços domésticos']
40566.0,32024.0,8542.0,Julho/2021,Julho,2021,['Outros serviços']
8644.0,6089.0,2555.0,Julho/2021,Julho,2021,"['Artes, Cultura, Esporte e Recreação']"
31898.0,25922.0,5976.0,Julho/2021,Julho,2021,['Outras Atividades de Serviços']
24.0,13.0,11.0,Julho/2021,Julho,2021,['Organismos Internacionais e Outras Instituições Extraterritoriais']
123008.0,88548.0,34460.0,Junho/2022,Junho,2022,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
293330.0,251813.0,41517.0,Junho/2022,Junho,2022,['Indústria geral']
5673.0,4336.0,1337.0,Junho/2022,Junho,2022,['Indústrias Extrativas']
274845.0,236859.0,37986.0,Junho/2022,Junho,2022,['Indústrias de Transformação']
1685.0,1525.0,160.0,Junho/2022,Junho,2022,['Eletricidade e Gás']
11127.0,9093.0,2034.0,Junho/2022,Junho,2022,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
192229.0,161972.0,30257.0,Junho/2022,Junho,2022,['Construção']
436638.0,389462.0,47176.0,Junho/2022,Junho,2022,['Comércio; reparação de veículos automotores e motocicletas']
853671.0,729137.0,124534.0,Junho/2022,Junho,2022,['Serviços']
102200.0,85449.0,16751.0,Junho/2022,Junho,2022,"['Transporte, armazenagem e correio']"
113188.0,95430.0,17758.0,Junho/2022,Junho,2022,['Alojamento e alimentação']
444836.0,379009.0,65827.0,Junho/2022,Junho,2022,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
45476.0,36778.0,8698.0,Junho/2022,Junho,2022,['Informação e Comunicação']
21052.0,17391.0,3661.0,Junho/2022,Junho,2022,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
7107.0,6626.0,481.0,Junho/2022,Junho,2022,['Atividades Imobiliárias']
67870.0,56532.0,11338.0,Junho/2022,Junho,2022,"['Atividades Profissionais, Científicas e Técnicas']"
303331.0,261682.0,41649.0,Junho/2022,Junho,2022,['Atividades Administrativas e Serviços Complementares']
142521.0,127937.0,14584.0,Junho/2022,Junho,2022,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
8324.0,5295.0,3029.0,Junho/2022,Junho,2022,"['Administração Pública, Defesa e Seguridade Social']"
46535.0,47209.0,-674.0,Junho/2022,Junho,2022,['Educação']
87662.0,75433.0,12229.0,Junho/2022,Junho,2022,['Saúde Humana e Serviços Sociais']
136.0,119.0,17.0,Junho/2022,Junho,2022,['Serviços domésticos']
50790.0,41193.0,9597.0,Junho/2022,Junho,2022,['Outros serviços']
11288.0,9209.0,2079.0,Junho/2022,Junho,2022,"['Artes, Cultura, Esporte e Recreação']"
39461.0,31948.0,7513.0,Junho/2022,Junho,2022,['Outras Atividades de Serviços']
41.0,36.0,5.0,Junho/2022,Junho,2022,['Organismos Internacionais e Outras Instituições Extraterritoriais']
45905.0,69673.0,-23768.0,Dezembro/2020,Dezembro,2020,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
174451.0,217353.0,-42902.0,Dezembro/2020,Dezembro,2020,['Indústria geral']
3405.0,3946.0,-541.0,Dezembro/2020,Dezembro,2020,['Indústrias Extrativas']
164071.0,204975.0,-40904.0,Dezembro/2020,Dezembro,2020,['Indústrias de Transformação']
1091.0,1421.0,-330.0,Dezembro/2020,Dezembro,2020,['Eletricidade e Gás']
5884.0,7011.0,-1127.0,Dezembro/2020,Dezembro,2020,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
94316.0,138674.0,-44358.0,Dezembro/2020,Dezembro,2020,['Construção']
360180.0,301028.0,59152.0,Dezembro/2020,Dezembro,2020,['Comércio; reparação de veículos automotores e motocicletas']
581395.0,611637.0,-30242.0,Dezembro/2020,Dezembro,2020,['Serviços']
67425.0,70391.0,-2966.0,Dezembro/2020,Dezembro,2020,"['Transporte, armazenagem e correio']"
81095.0,57847.0,23248.0,Dezembro/2020,Dezembro,2020,['Alojamento e alimentação']
326184.0,318724.0,7460.0,Dezembro/2020,Dezembro,2020,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
26857.0,24038.0,2819.0,Dezembro/2020,Dezembro,2020,['Informação e Comunicação']
13348.0,11073.0,2275.0,Dezembro/2020,Dezembro,2020,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
4604.0,3896.0,708.0,Dezembro/2020,Dezembro,2020,['Atividades Imobiliárias']
37908.0,41311.0,-3403.0,Dezembro/2020,Dezembro,2020,"['Atividades Profissionais, Científicas e Técnicas']"
243467.0,238406.0,5061.0,Dezembro/2020,Dezembro,2020,['Atividades Administrativas e Serviços Complementares']
80036.0,132087.0,-52051.0,Dezembro/2020,Dezembro,2020,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
